"V1","V2","V3"
"Le Rivier d Allemond","1972","-Inf"
"Le Rivier d Allemond","1973","-Inf"
"Le Rivier d Allemond","1974","-Inf"
"Le Rivier d Allemond","1975","-Inf"
"Le Rivier d Allemond","1976","-Inf"
"Le Rivier d Allemond","1977","-Inf"
"Le Rivier d Allemond","1978","-Inf"
"Le Rivier d Allemond","1979","-Inf"
"Le Rivier d Allemond","1980","-Inf"
"Le Rivier d Allemond","1981","-Inf"
"Le Rivier d Allemond","1982","-Inf"
"Le Rivier d Allemond","1983","-Inf"
"Le Rivier d Allemond","1984","-Inf"
"Le Rivier d Allemond","1985","-Inf"
"Le Rivier d Allemond","1986","-Inf"
"Le Rivier d Allemond","1987","-Inf"
"Le Rivier d Allemond","1988","-Inf"
"Le Rivier d Allemond","1989","-Inf"
"Le Rivier d Allemond","1990","-Inf"
"Le Rivier d Allemond","1991","65"
"Le Rivier d Allemond","1992","42"
"Le Rivier d Allemond","1993","-Inf"
"Le Rivier d Allemond","1994","-Inf"
"Le Rivier d Allemond","1995","-Inf"
"Le Rivier d Allemond","1996","-Inf"
"Le Rivier d Allemond","1997","-Inf"
"Le Rivier d Allemond","1998","-Inf"
"Le Rivier d Allemond","1999","-Inf"
"Le Rivier d Allemond","2000","-Inf"
"Le Rivier d Allemond","2001","-Inf"
"Le Rivier d Allemond","2002","-Inf"
"Le Rivier d Allemond","2003","-Inf"
"Le Rivier d Allemond","2004","-Inf"
"Le Rivier d Allemond","2005","-Inf"
"Le Rivier d Allemond","2006","-Inf"
"Le Rivier d Allemond","2007","-Inf"
"Le Rivier d Allemond","2008","-Inf"
"Le Rivier d Allemond","2009","-Inf"
"Le Rivier d Allemond","2010","-Inf"
"Le Rivier d Allemond","2011","-Inf"
"Le Rivier d Allemond","2012","-Inf"
"Le Rivier d Allemond","2013","-Inf"
"Le Rivier d Allemond","2014","-Inf"
"Le Rivier d Allemond","2015","-Inf"
"Le Rivier d Allemond","2016","-Inf"
"Le Rivier d Allemond","2017","-Inf"
"Le Rivier d Allemond","2018","-Inf"
"Le Rivier d Allemond","2019","-Inf"
"Le Rivier d Allemond","2020","-Inf"
"Le Rivier d Allemond","2021","-Inf"
"Le Rivier d Allemond","2022","-Inf"
"AIGLETON-NIVOSE","1950","-Inf"
"AIGLETON-NIVOSE","1951","-Inf"
"AIGLETON-NIVOSE","1952","-Inf"
"AIGLETON-NIVOSE","1953","-Inf"
"AIGLETON-NIVOSE","1954","-Inf"
"AIGLETON-NIVOSE","1955","-Inf"
"AIGLETON-NIVOSE","1956","-Inf"
"AIGLETON-NIVOSE","1957","-Inf"
"AIGLETON-NIVOSE","1958","-Inf"
"AIGLETON-NIVOSE","1959","-Inf"
"AIGLETON-NIVOSE","1960","-Inf"
"AIGLETON-NIVOSE","1961","-Inf"
"AIGLETON-NIVOSE","1962","-Inf"
"AIGLETON-NIVOSE","1963","-Inf"
"AIGLETON-NIVOSE","1964","-Inf"
"AIGLETON-NIVOSE","1965","-Inf"
"AIGLETON-NIVOSE","1966","-Inf"
"AIGLETON-NIVOSE","1967","-Inf"
"AIGLETON-NIVOSE","1968","-Inf"
"AIGLETON-NIVOSE","1969","-Inf"
"AIGLETON-NIVOSE","1970","-Inf"
"AIGLETON-NIVOSE","1971","-Inf"
"AIGLETON-NIVOSE","1972","-Inf"
"AIGLETON-NIVOSE","1973","-Inf"
"AIGLETON-NIVOSE","1974","-Inf"
"AIGLETON-NIVOSE","1975","-Inf"
"AIGLETON-NIVOSE","1976","-Inf"
"AIGLETON-NIVOSE","1977","-Inf"
"AIGLETON-NIVOSE","1978","-Inf"
"AIGLETON-NIVOSE","1979","-Inf"
"AIGLETON-NIVOSE","1980","-Inf"
"AIGLETON-NIVOSE","1981","-Inf"
"AIGLETON-NIVOSE","1982","-Inf"
"AIGLETON-NIVOSE","1983","-Inf"
"AIGLETON-NIVOSE","1984","-Inf"
"AIGLETON-NIVOSE","1985","-Inf"
"AIGLETON-NIVOSE","1986","-Inf"
"AIGLETON-NIVOSE","1987","-Inf"
"AIGLETON-NIVOSE","1988","-Inf"
"AIGLETON-NIVOSE","1989","-Inf"
"AIGLETON-NIVOSE","1990","-Inf"
"AIGLETON-NIVOSE","1991","-Inf"
"AIGLETON-NIVOSE","1992","-Inf"
"AIGLETON-NIVOSE","1993","-Inf"
"AIGLETON-NIVOSE","1994","-Inf"
"AIGLETON-NIVOSE","1995","-Inf"
"AIGLETON-NIVOSE","1996","-Inf"
"AIGLETON-NIVOSE","1997","-Inf"
"AIGLETON-NIVOSE","1998","-Inf"
"AIGLETON-NIVOSE","1999","-Inf"
"AIGLETON-NIVOSE","2000","-Inf"
"AIGLETON-NIVOSE","2001","-Inf"
"AIGLETON-NIVOSE","2002","-Inf"
"AIGLETON-NIVOSE","2003","-Inf"
"AIGLETON-NIVOSE","2004","-Inf"
"AIGLETON-NIVOSE","2005","-Inf"
"AIGLETON-NIVOSE","2006","-Inf"
"AIGLETON-NIVOSE","2007","-Inf"
"AIGLETON-NIVOSE","2008","-Inf"
"AIGLETON-NIVOSE","2009","-Inf"
"AIGLETON-NIVOSE","2010","-Inf"
"AIGLETON-NIVOSE","2011","-Inf"
